new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
2610,0.62261,0.00910,0.01140,0.00687,0.12692,0.85481,0.94111
2620,0.62351,0.00867,0.01138,0.00685,0.12661,0.85517,0.94126
2630,0.62441,0.00842,0.01110,0.00683,0.12654,0.85552,0.94156
2640,0.62530,0.00833,0.01108,0.00682,0.12623,0.85587,0.94170
2650,0.62618,0.00823,0.01105,0.00680,0.12593,0.85622,0.94184
2660,0.62706,0.00676,0.01102,0.00678,0.12538,0.85681,0.94206
2670,0.62794,0.00564,0.01100,0.00677,0.12462,0.85761,0.94235
2680,0.62881,0.00519,0.01085,0.00675,0.12444,0.85795,0.94257
2690,0.62968,0.00405,0.01083,0.00674,0.12366,0.85878,0.94286
2700,0.63055,0.00358,0.01080,0.00660,0.12312,0.85947,0.94316
2710,0.63141,0.00260,0.01077,0.00646,0.12283,0.85993,0.94337
2720,0.63226,0.00162,0.01063,0.00645,0.12254,0.86038,0.94366
2730,0.63312,0.00115,0.01037,0.00643,0.12224,0.86096,0.94403
2740,0.63397,0.00033,0.01022,0.00630,0.12207,0.86140,0.94432
2750,0.63481,0.00095,0.01020,0.00629,0.12180,0.86172,0.94445
2760,0.63565,0.00079,0.01018,0.00627,0.12127,0.86228,0.94466
2770,0.63649,0.00113,0.01003,0.00626,0.12110,0.86261,0.94486
2780,0.63732,0.00039,0.00978,0.00624,0.12119,0.86280,0.94514
2790,0.63815,0.00038,0.00975,0.00623,0.12090,0.86312,0.94527
2800,0.63898,0.00020,0.00973,0.00621,0.12062,0.86344,0.94540
2810,0.63980,0.00103,0.00971,0.00620,0.12034,0.86376,0.94553
2820,0.64062,0.00117,0.00968,0.00618,0.11959,0.86454,0.94581
2830,0.64143,0.00131,0.00966,0.00617,0.11931,0.86486,0.94593
2840,0.64224,0.00094,0.00964,0.00615,0.11880,0.86540,0.94613
2850,0.64305,0.00074,0.00962,0.00614,0.11853,0.86572,0.94626
2860,0.64385,0.00136,0.00959,0.00613,0.11825,0.86603,0.94638
2870,0.64465,0.00197,0.00957,0.00611,0.11798,0.86634,0.94650
2880,0.64545,0.00225,0.00955,0.00610,0.11748,0.86687,0.94670
2890,0.64624,0.00235,0.00953,0.00608,0.11698,0.86741,0.94690
2900,0.64703,0.00178,0.00951,0.00607,0.11671,0.86771,0.94702
2910,0.64782,0.00022,0.00937,0.00594,0.11656,0.86813,0.94729
2920,0.64860,0.00047,0.00935,0.00593,0.11629,0.86843,0.94741
2930,0.64938,0.00039,0.00933,0.00592,0.11603,0.86873,0.94753
2940,0.65015,0.08079,0.00931,0.00590,0.11578,0.86901,0.94764
2950,0.65093,0.08133,0.00929,0.00589,0.11552,0.86931,0.94776
2960,0.65170,0.08285,0.00927,0.00588,0.11503,0.86983,0.94795
2970,0.65246,0.08017,0.00925,0.00586,0.11456,0.87033,0.94814
2980,0.65322,0.08108,0.00922,0.00585,0.11407,0.87085,0.94833
2990,0.65398,0.08080,0.00909,0.00584,0.11371,0.87137,0.94859
3000,0.65474,0.08091,0.00907,0.00582,0.11300,0.87210,0.94885
3010,0.65549,0.08081,0.00905,0.00581,0.11253,0.87261,0.94904
3020,0.65624,0.08129,0.00881,0.00580,0.11250,0.87290,0.94930
3030,0.65698,0.08315,0.00879,0.00578,0.11225,0.87318,0.94941
