new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
328,0.17173,0.06239,0.05040,0.04465,0.40564,0.49932,0.78399
329,0.17216,0.06144,0.05038,0.04463,0.40553,0.49945,0.78407
330,0.17259,0.06255,0.05036,0.04461,0.40531,0.49973,0.78419
331,0.17303,0.06428,0.05033,0.04458,0.40509,0.50000,0.78430
332,0.17346,0.06287,0.05030,0.04456,0.40432,0.50082,0.78460
333,0.17389,0.06334,0.05027,0.04454,0.40410,0.50109,0.78471
334,0.17432,0.06256,0.05025,0.04451,0.40333,0.50191,0.78501
335,0.17475,0.06054,0.05022,0.04449,0.40311,0.50218,0.78513
336,0.17518,0.05976,0.05019,0.04392,0.40289,0.50300,0.78560
337,0.17561,0.05960,0.05016,0.04389,0.40267,0.50327,0.78571
338,0.17604,0.06006,0.05014,0.04387,0.40245,0.50354,0.78583
339,0.17647,0.05973,0.05012,0.04386,0.40207,0.50395,0.78608
340,0.17690,0.05650,0.05010,0.04356,0.40185,0.50449,0.78638
341,0.17733,0.05634,0.05007,0.04354,0.40163,0.50476,0.78649
342,0.17775,0.05557,0.05004,0.04351,0.40087,0.50558,0.78679
343,0.17818,0.05663,0.05001,0.04349,0.40065,0.50584,0.78690
344,0.17861,0.05586,0.04999,0.04347,0.39989,0.50666,0.78719
345,0.17903,0.05509,0.04996,0.04317,0.39967,0.50720,0.78748
346,0.17946,0.05674,0.04993,0.04315,0.39946,0.50746,0.78760
347,0.17989,0.05839,0.04991,0.04312,0.39924,0.50773,0.78771
348,0.18031,0.05761,0.04988,0.04310,0.39848,0.50854,0.78800
349,0.18074,0.05683,0.04985,0.04226,0.39935,0.50853,0.78829
350,0.18116,0.05726,0.04982,0.04224,0.39913,0.50880,0.78841
351,0.18158,0.05768,0.04953,0.04222,0.39919,0.50907,0.78870
352,0.18201,0.05929,0.04950,0.04220,0.39897,0.50933,0.78881
353,0.18243,0.06089,0.04947,0.04217,0.39876,0.50960,0.78892
354,0.18285,0.06129,0.04945,0.04215,0.39854,0.50986,0.78903
355,0.18327,0.05991,0.04942,0.04186,0.39833,0.51040,0.78932
356,0.18369,0.05913,0.04939,0.04184,0.39757,0.51120,0.78961
357,0.18412,0.05893,0.04937,0.04181,0.39736,0.51146,0.78973
358,0.18454,0.05756,0.04907,0.04179,0.39741,0.51173,0.79001
359,0.18496,0.05737,0.04904,0.04177,0.39720,0.51199,0.79013
360,0.18538,0.05776,0.04902,0.04175,0.39644,0.51279,0.79041
361,0.18580,0.05874,0.04899,0.04172,0.39623,0.51306,0.79053
362,0.18621,0.05854,0.04896,0.04170,0.39602,0.51332,0.79064
363,0.18663,0.05717,0.04894,0.04168,0.39581,0.51358,0.79075
364,0.18705,0.05639,0.04891,0.04166,0.39559,0.51384,0.79086
365,0.18747,0.05561,0.04889,0.04136,0.39484,0.51491,0.79132
366,0.18789,0.05484,0.04886,0.04134,0.39409,0.51570,0.79161
367,0.18830,0.05348,0.04883,0.04132,0.39388,0.51596,0.79172
368,0.18872,0.05213,0.04881,0.04103,0.39367,0.51649,0.79200
369,0.18913,0.05309,0.04878,0.04101,0.39346,0.51675,0.79211
370,0.18955,0.05460,0.04875,0.04099,0.39325,0.51701,0.79222
371,0.18996,0.05554,0.04873,0.04096,0.39304,0.51727,0.79233
372,0.19038,0.05476,0.04870,0.04094,0.39283,0.51753,0.79244
